iter	RMSE
0	14.70926777
1	14.41745073
2	14.13485273
3	13.84795247
4	13.58556215
5	13.33854291
6	13.10631708
7	12.89945948
8	12.6542771
9	12.40623271
10	12.17119103
11	11.95815413
12	11.75273064
13	11.54439195
14	11.34422554
15	11.13803901
16	10.95577499
17	10.77417127
18	10.59245061
19	10.41385227
20	10.27004168
21	10.1192676
22	9.947824562
23	9.788860161
24	9.64713587
25	9.509158364
26	9.366631049
27	9.245655235
28	9.105795881
29	8.988869331
30	8.86665374
31	8.750742825
32	8.642870008
33	8.535749959
34	8.422293544
35	8.316767235
36	8.215861442
37	8.124215101
38	8.029105581
39	7.929850538
40	7.844486369
41	7.774819361
42	7.691572047
43	7.620841312
44	7.54327065
45	7.470455972
46	7.399128774
47	7.328194053
48	7.255261888
49	7.187216992
50	7.123861857
51	7.059597612
52	7.002660707
53	6.942821911
54	6.88455079
55	6.829172681
56	6.776554487
57	6.731342108
58	6.681617778
59	6.636418696
60	6.592184907
61	6.546276621
62	6.498800539
63	6.454900091
64	6.415099765
65	6.379761531
66	6.339340518
67	6.302769557
68	6.274496679
69	6.240012976
70	6.20826445
71	6.174043417
72	6.142829372
73	6.111293776
74	6.082969948
75	6.054200895
76	6.024219723
77	5.998469278
78	5.97208869
79	5.94503331
80	5.925981328
81	5.90137291
82	5.877811399
83	5.854360853
84	5.840283348
85	5.824999825
86	5.802319906
87	5.78024078
88	5.758757862
89	5.740247211
90	5.718300344
91	5.704523991
92	5.686355006
93	5.6717719
94	5.656590282
95	5.638516096
96	5.623547853
97	5.608108785
98	5.598828741
99	5.584480139
