iter	Passed	Remaining
0	2	219
1	3	152
2	4	144
3	5	143
4	7	146
5	8	136
6	9	124
7	10	115
8	11	116
9	12	116
10	14	113
11	15	112
12	16	111
13	20	123
14	22	125
15	24	128
16	25	124
17	27	123
18	27	119
19	29	116
20	31	116
21	34	121
22	36	120
23	38	120
24	38	116
25	40	114
26	42	114
27	44	113
28	46	113
29	48	112
30	54	120
31	55	117
32	56	114
33	57	111
34	58	108
35	63	113
36	64	110
37	68	111
38	69	109
39	71	107
40	74	106
41	76	105
42	77	102
43	78	99
44	80	97
45	80	94
46	81	91
47	82	89
48	83	87
49	84	84
50	86	82
51	87	80
52	88	78
53	89	76
54	91	75
55	95	74
56	100	75
57	102	73
58	103	72
59	104	69
60	105	67
61	107	65
62	108	63
63	109	61
64	110	59
65	111	57
66	111	55
67	112	52
68	113	50
69	113	48
70	114	46
71	115	44
72	116	42
73	116	41
74	117	39
75	118	37
76	119	35
77	119	33
78	120	32
79	121	30
80	122	28
81	126	27
82	128	26
83	129	24
84	130	23
85	131	21
86	132	19
87	133	18
88	133	16
89	134	14
90	135	13
91	136	11
92	136	10
93	137	8
94	138	7
95	139	5
96	140	4
97	140	2
98	141	1
99	142	0
